cow_id;"(SELECT avg(""value"") AS avgmilk FROM measurements AS m INNER JOIN sensors AS s ON ((s.id = m.sensor_id)) WHERE ((s.unit = 'L') AND (mp.cow_id = m.cow_id)) GROUP BY cow_id)";"(SELECT avg(""value"") AS avgweight FROM measurements AS m INNER JOIN sensors AS s ON ((s.id = m.sensor_id)) WHERE ((s.unit = 'kg') AND (mp.cow_id = m.cow_id)) GROUP BY cow_id)"
168590c2-d95f-4e72-8749-cb08a1147065;4.714605263157893;536.195506376594
f3208e67-07dc-4cfb-9ca1-b0d3750ea753;4.703600619195047;534.5295187917104
7255f6ed-8b6e-4fa5-b6bf-676663ba7e48;4.717037200088054;526.897703010372
4e48314b-bbea-4cf5-9bfd-3d7a3e6ba564;4.71902518277823;536.2871483253588
6496ce06-18c2-4dd3-bcc3-4c8195a8c1f7;4.7267897623400374;534.9555140579102
3b2547ed-de1a-4992-8494-bebabfaef6b4;4.715168431183831;530.283615560641
0ebfdca5-b52e-4ee2-b896-bce145daebc7;4.715816032295269;529.1130769230773
fed3a6af-8729-4ac6-920a-f5487cb00dd9;4.717075753461853;531.1573739967896
3593205a-bead-40d6-aad9-7ed1f2da4745;4.691654478976232;525.2722126745434
991670bb-d888-4a95-94b8-41b290122833;4.690248667850798;524.5361643835618
2638ae21-5fc8-48fa-ad34-e66baf66cba3;4.714235099337752;534.9613254965544
0ad881c5-606c-46f4-a504-a3bbb4e23870;4.719843317972348;534.032770053476
1a0e14cf-587a-440f-8c5e-39fe86f48ec7;4.748053097345135;540.3253921568622
c59bf2d4-433a-4de8-9927-b05cb6633cad;4.5579518072289185;532.7611320754718
586c87f6-4a4e-4996-b560-fc5490a4ad4d;4.678507089241034;531.7507319304666
9c6cd124-db49-45cf-8973-b47419c74518;4.688252957233851;523.7417846153845
5693cf1f-865a-41a9-9f7d-789d27e32910;4.711298744216787;535.8850922509224
3f35a21f-5ce8-4b9b-a6ea-67666aa6a183;4.716172332942556;539.5792571428573
7b85bc65-556e-4dbc-82b5-80b148c4044d;4.713144848954298;533.5879230769227
be4ca0d5-80a0-434d-beee-e05702091b0e;4.727462337662341;531.7692222884389
c158759b-dcfe-417d-ae3d-c8e38f567325;4.714236907170149;537.6914756158877
15f06691-ab7b-4cac-89a9-dc7c6554c9c1;4.718618739903068;533.6532196589766
c3aa0df9-276c-4e2f-b60d-ac617d0ef84c;4.71791834903544;533.4274549000486
47a81ce1-859a-4db9-b8ad-a27cb9dc462f;4.708826796251305;533.1030527987294
f5c0dc0e-aa4e-45af-9b17-8aa3366a7bc6;4.721233243967829;521.6065686274511
2be429fe-6e2b-4e72-a93e-2d96d445a5e2;4.712094594594593;535.1372445677305
f20b9926-d224-48cf-9047-f6c7cc0cae6e;4.713869104908566;532.3066711809316
95e7312d-9447-4c40-a382-ef30d850e997;4.7188284820784245;530.4370893686803
4b54f862-7dd7-4569-950c-e071fd13c575;4.718833746898263;529.2871396731057
38c98773-d708-47ae-af66-f722fabbc9d2;4.700911471974856;524.7387448920025
27c13817-4faf-49dd-8984-643a062e3d75;4.712567567567567;524.7691305443548
6c20e977-42b1-46d8-9e38-b9b0571b82a5;4.717512096774193;531.652199488491
1eea703e-9d56-4983-986f-69e4b61c9ed5;4.728998664886512;525.0125327510921
9351349b-0f0f-47b6-a67d-3b0fe843b019;4.720040697674422;533.0027305311177
fa5625d5-d657-40a7-9de9-a52af87aef1f;4.7281249999999995;513.4156108597289
9e3d2393-2f17-43b7-b7c1-a2ffa7ea6c2f;4.702670261066971;537.4945884640313
0461bf6a-4625-4c64-acb1-1221caeed82b;4.713904109589041;530.6356461232605
b154d214-6d5d-44af-94f2-fb8c41de35cb;4.718312003530448;531.4149026548675
c821a6b7-8dd0-4b4e-9835-1c0c57264ba4;4.711718696397943;527.0682500983091
ef082efc-d476-4ca4-89a8-94d4cf09392a;4.7172890416189395;536.5667894280762
a27b8cd2-708e-4532-81ef-05a5b2ab249c;4.7287944358578065;520.3295585585588
7389aa61-3add-4f92-b38a-6b23cf389dcf;4.699638242894056;535.7662555803569
f7e0cdbc-b23e-483a-8d78-b266a932a3c1;4.685496921723833;526.0249017681728
008d8c76-b26e-4780-b65a-cec19c9984b6;4.703514313919054;538.9617431192662
e69e914f-2797-4ed1-a32f-606cb03fc6f2;4.711698774080561;534.8318421052633
562c2685-8485-4c95-a1d5-c51a0e593dc0;4.709122635355513;533.0954941310105
5b0155f2-8d9f-469d-be25-9ba4abfb3974;4.723982564808444;529.8200080149612
478be788-f84c-48da-8b62-c652cf2d118f;4.750423728813558;520.19393728223
48c17eb9-ae9d-4965-a916-c4bfe1c3a3ef;4.711561140647653;534.4365464743591
071f30bb-3b8a-445b-8c5f-dff6c77c1af8;4.7092925910422805;534.4540427426533
1738d527-c14e-4832-b40f-e8946f065d2c;4.711514324693043;536.9547346368714
adadab8b-c876-4733-b1ea-bdf67db55051;4.725463297232251;537.255804195804
32a5db76-4c96-462a-b64c-7d89c7685183;4.722587257617728;532.5471330418488
8d2d3166-a295-40ea-9c48-6dc26e180159;4.721273619631907;537.7714927812588
844fc847-a0aa-4473-a42d-d4c13cd1eba9;4.7281434599156125;532.7335066505443
8051343c-56d2-46c5-a24c-2e6d0858f2aa;4.722754237288136;536.268852713178
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31;4.70211498973306;533.6762826086957
1b3641d0-954b-4a88-98de-29d22e7222e7;4.73314871016692;528.7793156544054
066d0252-6201-4bb1-adea-a50a03e419e3;4.71131343283582;531.2010452961672
